Date,hour,temp
2023-01-17,6,36
2023-01-17,7,37
2023-01-17,8,40
2023-01-17,9,42
2023-01-17,10,43
2023-01-17,11,44
2023-01-17,12,46
2023-01-17,13,46
2023-01-17,14,47
2023-01-17,15,46.5
2023-01-17,16,47
2023-01-17,17,46.5
2023-01-17,18,46.75
2023-01-17,19,46
2023-01-17,20,46
2023-01-17,21,46
2023-01-17,22,45
2023-01-17,23,45
2023-01-18,0,45
2023-01-18,1,44
2023-01-18,2,44
2023-01-18,3,45
2023-01-18,4,44
2023-01-18,5,45
2023-01-18,6,46
2023-01-18,7,47
2023-01-18,8,48
2023-01-18,9,49
2023-01-18,10,50
2023-01-18,11,51
2023-01-18,12,51
2023-01-18,13,52
2023-01-18,14,52
2023-01-18,15,52
2023-01-18,16,50
2023-01-18,17,49
2023-01-18,18,49
2023-01-18,19,49
2023-01-18,20,47
2023-01-18,21,47
2023-01-18,22,46
2023-01-18,23,45
2023-01-19,0,44
2023-01-19,1,43
2023-01-19,2,43
2023-01-19,3,43
2023-01-19,4,42
2023-01-19,5,42
2023-01-19,6,42
2023-01-19,7,43
2023-01-19,8,42
2023-01-19,9,41
2023-01-19,10,40
2023-01-19,11,41
2023-01-19,12,41
2023-01-19,13,41
2023-01-19,14,41
2023-01-19,15,41
2023-01-19,16,40.5
2023-01-19,17,41
2023-01-19,18,41
2023-01-19,19,40.666666666666664
2023-01-19,20,41
2023-01-19,21,41
2023-01-19,22,41
2023-01-19,23,41
2023-01-20,0,41
2023-01-20,1,42.5
2023-01-20,2,41
2023-01-20,3,40
2023-01-20,4,41
2023-01-20,5,41
2023-01-20,6,40.5
2023-01-20,7,42
2023-01-20,8,44
2023-01-20,9,46
2023-01-20,10,47
2023-01-20,11,49
2023-01-20,12,47
2023-01-20,13,46
2023-01-20,14,47
2023-01-20,15,47
2023-01-20,16,47
2023-01-20,17,46
2023-01-20,18,45
2023-01-20,19,44
2023-01-20,20,44
2023-01-20,21,44
2023-01-20,22,43
2023-01-20,23,43
2023-01-21,0,41
2023-01-21,1,40
2023-01-21,2,40
2023-01-21,3,39
2023-01-21,4,38
2023-01-21,5,38
2023-01-21,6,38
2023-01-21,7,38
2023-01-21,8,38
2023-01-21,9,39
2023-01-21,10,40
2023-01-21,11,40
2023-01-21,12,40
2023-01-21,13,40
2023-01-21,14,40
2023-01-21,15,39
2023-01-21,16,38
2023-01-21,17,38
2023-01-21,18,38
2023-01-21,19,38
2023-01-21,20,38
2023-01-21,21,37
2023-01-21,22,37
2023-01-21,23,37
